Rank,country,number of wines of this variety,mean points,standard deviation of mean points
1,England,63,91.74603175,1.840128449
2,India,8,90.25,1.832250763
3,Austria,3030,90.130033,2.543174047
4,Germany,1990,89.8959799,2.499820792
5,Canada,227,89.30837004,2.440816359
6,Hungary,133,89.27819549,2.736823483
7,China,1,89,
8,France,19738,88.83640693,3.101586494
9,Luxembourg,5,88.8,0.836660027
10,Switzerland,8,88.75,2.375469878
11,Morocco,24,88.70833333,1.731527766
12,Italy,17804,88.58076837,2.701320564
13,US,50227,88.55637406,3.170097587
14,Australia,2183,88.53687586,3.011190669
15,Israel,469,88.47547974,2.506814651
16,New Zealand,1277,88.29913861,2.473643045
17,Portugal,5222,88.26445806,3.050233315
18,Slovenia,77,88.12987013,1.742281092
19,Turkey,81,88.11111111,1.987460691
20,South Africa,1304,88.03911043,2.464950837
21,Bulgaria,144,87.95833333,2.044521932
22,Serbia,8,87.625,1.302470181
23,Georgia,82,87.62195122,2.106077296
24,Lebanon,32,87.59375,2.883315464
25,Armenia,2,87.5,0.707106781
26,Greece,433,87.24942263,2.226244115
27,Spain,6020,87.23388704,3.1368702
28,Croatia,70,87.18571429,2.439368279
29,Moldova,56,87.14285714,2.460070741
30,Cyprus,10,87.1,1.663329993
31,Czech Republic,11,87.09090909,1.700267359
32,Macedonia,12,87.08333333,1.975225342
33,Slovakia,1,87,
34,Uruguay,102,86.73529412,2.724754401
35,Argentina,3543,86.65057861,3.21405617
36,Bosnia and Herzegovina,2,86.5,2.121320344
37,Chile,4180,86.45933014,2.726246633
38,Romania,101,86.30693069,1.683701721
39,Kosovo,4,85.25,1.5
40,Mexico,68,85.16176471,2.691114701
41,Brazil,49,84.63265306,2.403936681
42,Ukraine,14,84.07142857,1.591529778
43,Egypt,1,84,
44,Peru,16,83.5625,1.860779407
